% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	avrgSinrPerRb
2240	0	2	1	0	8	29	0	1	1	213373
2240	0	3	1	0	8	29	0	1	1	62365.3
2240	0	4	1	0	8	29	0	1	1	170506
2240	0	5	1	0	8	29	0	1	1	41537.4
2240	0	6	1	0	8	29	0	1	1	62855.8
2240	0	7	1	0	8	29	0	1	1	5.46974e+06
2240	0	8	1	0	8	29	0	1	1	37642.4
2240	0	9	1	0	8	29	0	1	1	145812
2240	0	10	1	0	8	29	0	1	1	99866.1
2244	0	1	2	0	8	29	0	1	1	213373
2244	0	1	9	0	8	29	0	1	0	8.81713
2244	0	1	5	0	8	29	0	1	0	0.715548
2244	0	3	2	0	8	29	0	1	1	204847
2244	0	3	9	0	8	29	0	1	0	3.0583
2244	0	3	5	0	8	29	0	1	0	2.06294
2244	0	4	2	0	8	29	0	1	1	47547.8
2244	0	4	9	0	8	29	0	1	0	9.81251
2244	0	4	5	0	8	29	0	1	0	0.64291
2244	0	6	2	0	8	29	0	1	1	82713.4
2244	0	6	5	0	8	29	0	1	0	14.6808
2244	0	6	9	0	8	29	0	1	0	0.429732
2244	0	7	2	0	8	29	0	1	1	152535
2244	0	7	9	0	8	29	0	1	0	11.4343
2244	0	7	5	0	8	29	0	1	0	0.551763
2244	0	8	2	0	8	29	0	1	1	36870.4
2244	0	8	5	0	8	29	0	1	0	7.9236
2244	0	8	9	0	8	29	0	1	0	0.796145
2244	0	10	2	0	8	29	0	1	1	59834.2
2244	0	10	9	0	8	29	0	1	0	198.933
2244	0	10	5	0	8	29	0	1	0	0.0317129
2248	0	1	4	0	8	29	0	1	1	170506
2248	0	2	4	0	8	29	0	1	1	47547.8
2248	0	3	4	0	8	29	0	1	1	25411.3
2248	0	5	4	0	8	29	0	1	1	19518.3
2248	0	6	4	0	8	29	0	1	1	31415
2248	0	7	4	0	8	29	0	1	1	241875
2248	0	8	4	0	8	29	0	1	1	26422.1
2248	0	9	4	0	8	29	0	1	1	76256.7
2248	0	10	4	0	8	29	0	1	1	76135.5
2252	0	1	10	0	8	29	0	1	1	99866.1
2252	0	2	10	0	8	29	0	1	1	59834.2
2252	0	3	10	0	8	29	0	1	1	51931.4
2252	0	4	10	0	8	29	0	1	1	76135.5
2252	0	5	10	0	8	29	0	1	1	18999.3
2252	0	6	10	0	8	29	0	1	1	20210.1
2252	0	7	10	0	8	29	0	1	1	114549
2252	0	8	10	0	8	29	0	1	1	14456.2
2252	0	9	10	0	8	29	0	1	1	1.50488e+06
2256	0	1	7	0	8	29	0	1	0	364.973
2256	0	1	6	0	8	29	0	1	0	2.53154
2256	0	1	3	0	8	29	0	1	0	2.49218
2256	0	1	8	0	8	29	0	1	0	0.0172866
2256	0	2	7	0	8	29	0	1	0	10.3911
2256	0	2	3	0	8	29	0	1	0	6.22073
2256	0	2	6	0	8	29	0	1	0	1.01424
2256	0	2	8	0	8	29	0	1	0	0.607157
2256	0	4	7	0	8	29	0	1	0	22.9923
2256	0	4	6	0	8	29	0	1	0	3.10504
2256	0	4	3	0	8	29	0	1	0	2.03168
2256	0	4	8	0	8	29	0	1	0	0.274392
2256	0	5	6	0	8	29	0	1	0	5.84699
2256	0	5	8	0	8	29	0	1	0	3.78284
2256	0	5	7	0	8	29	0	1	0	1.66775
2256	0	5	3	0	8	29	0	1	0	1.07905
2256	0	9	7	0	8	29	0	1	0	23.9505
2256	0	9	3	0	8	29	0	1	0	7.67891
2256	0	9	6	0	8	29	0	1	0	0.821566
2256	0	9	8	0	8	29	0	1	0	0.263399
2256	0	10	7	0	8	29	0	1	0	19.9005
2256	0	10	3	0	8	29	0	1	0	6.45368
2256	0	10	6	0	8	29	0	1	0	0.977503
2256	0	10	8	0	8	29	0	1	0	0.316994
2560	0	1	2	0	8	29	0	1	1	213373
2560	0	1	8	0	8	29	0	1	1	37642.4
2560	0	1	7	0	8	29	0	1	0	220.296
2560	0	1	3	0	8	29	0	1	0	0.0286402
2560	0	4	2	0	8	29	0	1	1	47547.8
2560	0	4	8	0	8	29	0	1	1	26422.1
2560	0	4	7	0	8	29	0	1	0	23.9068
2560	0	4	3	0	8	29	0	1	0	0.263895
2560	0	5	2	0	8	29	0	1	1	99573.7
2560	0	5	8	0	8	29	0	1	1	52949.2
2560	0	5	3	0	8	29	0	1	0	4.45573
