% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	avrgSinrPerRb
2564	0	4	1	0	8	29	0	1	1	1.70506e+07
2564	0	4	6	0	8	29	0	1	1	3.1415e+06
2564	0	5	6	0	8	29	0	1	1	1.45181e+07
2564	0	5	1	0	8	29	0	1	1	4.15374e+06
2564	0	7	1	0	8	29	0	1	1	5.46974e+08
2564	0	7	6	0	8	29	0	1	1	5.30581e+06
2564	0	8	6	0	8	29	0	1	1	2.80759e+07
2564	0	8	1	0	8	29	0	1	1	3.76424e+06
2564	0	9	1	0	8	29	0	1	1	1.45812e+07
2564	0	9	6	0	8	29	0	1	1	2.48379e+06
2564	0	10	1	0	8	29	0	1	1	9.98661e+06
2564	0	10	6	0	8	29	0	1	1	2.02101e+06
2568	0	1	4	0	8	29	0	1	1	1.70506e+07
2568	0	1	10	0	8	29	0	1	1	9.98661e+06
2568	0	2	10	0	8	29	0	1	1	5.98342e+06
2568	0	2	4	0	8	29	0	1	1	4.75478e+06
2568	0	3	10	0	8	29	0	1	1	5.19314e+06
2568	0	3	4	0	8	29	0	1	1	2.54113e+06
2568	0	5	4	0	8	29	0	1	1	1.95183e+06
2568	0	5	10	0	8	29	0	1	1	1.89993e+06
2568	0	6	4	0	8	29	0	1	1	3.1415e+06
2568	0	6	10	0	8	29	0	1	1	2.02101e+06
2568	0	7	4	0	8	29	0	1	1	2.41875e+07
2568	0	7	10	0	8	29	0	1	1	1.14549e+07
2568	0	8	4	0	8	29	0	1	1	2.64221e+06
2568	0	8	10	0	8	29	0	1	1	1.44562e+06
2568	0	9	10	0	8	29	0	1	1	1.50488e+08
2568	0	9	4	0	8	29	0	1	1	7.62567e+06
2572	0	1	5	0	8	29	0	1	1	4.15374e+06
2572	0	2	5	0	8	29	0	1	1	9.95737e+06
2572	0	3	5	0	8	29	0	1	1	6.23678e+06
2572	0	4	5	0	8	29	0	1	1	1.95183e+06
2572	0	6	5	0	8	29	0	1	1	1.45181e+07
2572	0	7	5	0	8	29	0	1	1	3.51569e+06
2572	0	8	5	0	8	29	0	1	1	5.29492e+06
2572	0	9	5	0	8	29	0	1	1	2.40221e+06
2572	0	10	5	0	8	29	0	1	1	1.89993e+06
2576	0	1	9	0	8	29	0	1	1	1.45812e+07
2576	0	2	9	0	8	29	0	1	1	9.23615e+06
2576	0	3	9	0	8	29	0	1	1	7.59379e+06
2576	0	4	9	0	8	29	0	1	1	7.62567e+06
2576	0	5	9	0	8	29	0	1	1	2.40221e+06
2576	0	6	9	0	8	29	0	1	1	2.48379e+06
2576	0	7	9	0	8	29	0	1	1	1.60048e+07
2576	0	8	9	0	8	29	0	1	1	1.67831e+06
2576	0	10	9	0	8	29	0	1	1	1.50488e+08
2880	0	1	3	0	8	29	0	1	1	6.23653e+06
2880	0	2	3	0	8	29	0	1	1	2.04847e+07
2880	0	4	3	0	8	29	0	1	1	2.54113e+06
2880	0	5	3	0	8	29	0	1	1	6.23678e+06
2880	0	6	3	0	8	29	0	1	1	3.4633e+06
2880	0	7	3	0	8	29	0	1	1	5.40751e+06
2880	0	8	3	0	8	29	0	1	1	1.91882e+06
2880	0	9	3	0	8	29	0	1	1	7.59379e+06
2880	0	10	3	0	8	29	0	1	1	5.19314e+06
2884	0	2	1	0	8	29	0	1	1	2.13373e+07
2884	0	2	7	0	8	29	0	1	1	1.52535e+07
2884	0	2	5	0	8	29	0	1	1	9.95737e+06
2884	0	3	5	0	8	29	0	1	1	6.23678e+06
2884	0	3	1	0	8	29	0	1	1	6.23653e+06
2884	0	3	7	0	8	29	0	1	1	5.40751e+06
2884	0	4	7	0	8	29	0	1	1	2.41875e+07
2884	0	4	1	0	8	29	0	1	1	1.70506e+07
2884	0	4	5	0	8	29	0	1	1	1.95183e+06
2884	0	6	5	0	8	29	0	1	1	1.45181e+07
2884	0	6	1	0	8	29	0	1	1	6.28558e+06
2884	0	6	7	0	8	29	0	1	1	5.30581e+06
2884	0	8	5	0	8	29	0	1	1	5.29492e+06
2884	0	8	1	0	8	29	0	1	1	3.76424e+06
2884	0	8	7	0	8	29	0	1	1	3.41546e+06
2884	0	9	7	0	8	29	0	1	1	1.60048e+07
2884	0	9	1	0	8	29	0	1	1	1.45812e+07
2884	0	9	5	0	8	29	0	1	1	2.40221e+06
2884	0	10	7	0	8	29	0	1	1	1.14549e+07
2884	0	10	1	0	8	29	0	1	1	9.98661e+06
2884	0	10	5	0	8	29	0	1	1	1.89993e+06
2888	0	1	10	0	8	29	0	1	1	9.98661e+06
2888	0	2	10	0	8	29	0	1	1	5.98342e+06
2888	0	3	10	0	8	29	0	1	1	5.19314e+06
2888	0	4	10	0	8	29	0	1	1	7.61355e+06
2888	0	5	10	0	8	29	0	1	1	1.89993e+06
2888	0	6	10	0	8	29	0	1	1	2.02101e+06
2888	0	7	10	0	8	29	0	1	1	1.14549e+07
2888	0	8	10	0	8	29	0	1	1	1.44562e+06
2888	0	9	10	0	8	29	0	1	1	1.50488e+08
2892	0	1	8	0	8	29	0	1	1	3.76424e+06
2892	0	1	4	0	8	29	0	1	0	6.81388
2892	0	1	6	0	8	29	0	1	0	0.925988
2892	0	2	8	0	8	29	0	1	1	3.68704e+06
2892	0	2	6	0	8	29	0	1	0	4.36964
2892	0	2	4	0	8	29	0	1	0	1.44396
2892	0	3	8	0	8	29	0	1	1	1.91882e+06
2892	0	3	6	0	8	29	0	1	0	3.42343
2892	0	3	4	0	8	29	0	1	0	1.84305
2892	0	5	8	0	8	29	0	1	1	5.29492e+06
2892	0	5	6	0	8	29	0	1	0	18.6839
2892	0	5	4	0	8	29	0	1	0	0.337701
2892	0	7	8	0	8	29	0	1	1	3.41546e+06
2892	0	7	4	0	8	29	0	1	0	11.4509
2892	0	7	6	0	8	29	0	1	0	0.551011
2892	0	9	8	0	8	29	0	1	1	1.67831e+06
2892	0	9	4	0	8	29	0	1	0	7.71192
2892	0	9	6	0	8	29	0	1	0	0.818158
2892	0	10	8	0	8	29	0	1	1	1.44562e+06
2892	0	10	4	0	8	29	0	1	0	9.46275
2892	0	10	6	0	8	29	0	1	0	0.666779
2896	0	1	2	0	8	29	0	1	1	2.13373e+07
2896	0	1	9	0	8	29	0	1	1	1.45812e+07
2896	0	3	2	0	8	29	0	1	1	2.04847e+07
2896	0	3	9	0	8	29	0	1	1	7.59379e+06
2896	0	4	9	0	8	29	0	1	1	7.62567e+06
2896	0	4	2	0	8	29	0	1	1	4.75478e+06
2896	0	5	2	0	8	29	0	1	1	9.95737e+06
2896	0	5	9	0	8	29	0	1	1	2.40221e+06
2896	0	6	2	0	8	29	0	1	1	8.27134e+06
2896	0	6	9	0	8	29	0	1	1	2.48379e+06
2896	0	7	9	0	8	29	0	1	1	1.60048e+07
2896	0	7	2	0	8	29	0	1	1	1.52535e+07
2896	0	8	2	0	8	29	0	1	1	3.68704e+06
2896	0	8	9	0	8	29	0	1	1	1.67831e+06
2896	0	10	9	0	8	29	0	1	1	1.50488e+08
2896	0	10	2	0	8	29	0	1	1	5.98342e+06
3200	0	1	3	0	8	29	0	1	1	6.23653e+06
3200	0	2	3	0	8	29	0	1	1	2.04847e+07
3200	0	4	3	0	8	29	0	1	1	2.54113e+06
3200	0	5	3	0	8	29	0	1	1	6.23678e+06
3200	0	6	3	0	8	29	0	1	1	3.4633e+06
3200	0	7	3	0	8	29	0	1	1	5.40751e+06
3200	0	8	3	0	8	29	0	1	1	1.91882e+06
3200	0	9	3	0	8	29	0	1	1	7.59379e+06
3200	0	10	3	0	8	29	0	1	1	5.19314e+06
3204	0	2	7	0	8	29	0	1	1	1.52535e+07
3204	0	2	1	0	8	29	0	1	0	5.80296
3204	0	2	9	0	8	29	0	1	0	1.0873
3204	0	3	7	0	8	29	0	1	1	5.40751e+06
3204	0	3	9	0	8	29	0	1	0	3.05855
3204	0	3	1	0	8	29	0	1	0	2.06293
3204	0	4	7	0	8	29	0	1	1	2.41875e+07
3204	0	4	1	0	8	29	0	1	0	5.61645
3204	0	4	9	0	8	29	0	1	0	1.12341
3204	0	5	7	0	8	29	0	1	1	3.51569e+06
3204	0	5	1	0	8	29	0	1	0	4.34338
3204	0	5	9	0	8	29	0	1	0	1.45269
3204	0	6	7	0	8	29	0	1	1	5.30581e+06
3204	0	6	1	0	8	29	0	1	0	6.35667
3204	0	6	9	0	8	29	0	1	0	0.992589
3204	0	8	7	0	8	29	0	1	1	3.41546e+06
3204	0	8	1	0	8	29	0	1	0	5.63384
3204	0	8	9	0	8	29	0	1	0	1.11994
3204	0	10	7	0	8	29	0	1	1	1.14549e+07
3204	0	10	9	0	8	29	0	1	0	37.8515
3204	0	10	1	0	8	29	0	1	0	0.166693
3208	0	1	2	0	8	29	0	1	1	2.13373e+07
3208	0	1	4	0	8	29	0	1	0	2.63205
3208	0	1	10	0	8	29	0	1	0	1.07495
3208	0	1	6	0	8	29	0	1	0	0.58396
3208	0	3	2	0	8	29	0	1	1	2.04847e+07
3208	0	3	10	0	8	29	0	1	0	2.17249
3208	0	3	6	0	8	29	0	1	0	1.12479
3208	0	3	4	0	8	29	0	1	0	0.737374
3208	0	5	2	0	8	29	0	1	1	9.95737e+06
3208	0	5	6	0	8	29	0	1	0	9.46784
3208	0	5	4	0	8	29	0	1	0	0.298621
3208	0	5	10	0	8	29	0	1	0	0.289765
3208	0	7	2	0	8	29	0	1	1	1.52535e+07
3208	0	7	4	0	8	29	0	1	0	3.62492
3208	0	7	10	0	8	29	0	1	0	0.975591
3208	0	7	6	0	8	29	0	1	0	0.373925
3208	0	8	2	0	8	29	0	1	1	3.68704e+06
3208	0	8	6	0	8	29	0	1	0	17.252
3208	0	8	4	0	8	29	0	1	0	0.224817
3208	0	8	10	0	8	29	0	1	0	0.118211
3208	0	9	2	0	8	29	0	1	1	9.23615e+06
3208	0	9	10	0	8	29	0	1	0	37.3915
3208	0	9	4	0	8	29	0	1	0	0.125218
3208	0	9	6	0	8	29	0	1	0	0.039459
3212	0	1	5	0	8	29	0	1	1	4.15374e+06
3212	0	1	8	0	8	29	0	1	1	3.76424e+06
3212	0	2	5	0	8	29	0	1	1	9.95737e+06
3212	0	2	8	0	8	29	0	1	1	3.68704e+06
3212	0	3	5	0	8	29	0	1	1	6.23678e+06
3212	0	3	8	0	8	29	0	1	1	1.91882e+06
3212	0	4	8	0	8	29	0	1	1	2.64221e+06
3212	0	4	5	0	8	29	0	1	1	1.95183e+06
3212	0	6	8	0	8	29	0	1	1	2.80759e+07
3212	0	6	5	0	8	29	0	1	1	1.45181e+07
3212	0	7	5	0	8	29	0	1	1	3.51569e+06
3212	0	7	8	0	8	29	0	1	1	3.41546e+06
3212	0	9	5	0	8	29	0	1	1	2.40221e+06
3212	0	9	8	0	8	29	0	1	1	1.67831e+06
3212	0	10	5	0	8	29	0	1	1	1.89993e+06
3212	0	10	8	0	8	29	0	1	1	1.44562e+06
3520	0	2	3	0	8	29	0	1	1	2.04847e+07
3520	0	2	1	0	8	29	0	1	0	5.80296
3520	0	2	9	0	8	29	0	1	0	1.0873
3520	0	4	3	0	8	29	0	1	1	2.54113e+06
3520	0	4	1	0	8	29	0	1	0	5.61645
3520	0	4	9	0	8	29	0	1	0	1.12341
3520	0	5	3	0	8	29	0	1	1	6.23678e+06
3520	0	5	1	0	8	29	0	1	0	4.34338
3520	0	5	9	0	8	29	0	1	0	1.45269
3520	0	6	3	0	8	29	0	1	1	3.4633e+06
3520	0	6	1	0	8	29	0	1	0	6.35667
3520	0	6	9	0	8	29	0	1	0	0.992589
3520	0	7	3	0	8	29	0	1	1	5.40751e+06
3520	0	7	1	0	8	29	0	1	0	85.8451
3520	0	7	9	0	8	29	0	1	0	0.0734995
3520	0	8	3	0	8	29	0	1	1	1.91882e+06
3520	0	8	1	0	8	29	0	1	0	5.63384
3520	0	8	9	0	8	29	0	1	0	1.11994
3520	0	10	3	0	8	29	0	1	1	5.19314e+06
3520	0	10	9	0	8	29	0	1	0	37.8515
3520	0	10	1	0	8	29	0	1	0	0.166693
3524	0	1	10	0	8	29	0	1	1	9.98661e+06
3524	0	1	6	0	8	29	0	1	1	6.28558e+06
3524	0	2	6	0	8	29	0	1	1	8.27134e+06
3524	0	2	10	0	8	29	0	1	1	5.98342e+06
3524	0	3	10	0	8	29	0	1	1	5.19314e+06
3524	0	3	6	0	8	29	0	1	1	3.4633e+06
3524	0	4	10	0	8	29	0	1	1	7.61355e+06
3524	0	4	6	0	8	29	0	1	1	3.1415e+06
3524	0	5	6	0	8	29	0	1	1	1.45181e+07
3524	0	5	10	0	8	29	0	1	1	1.89993e+06
3524	0	7	10	0	8	29	0	1	1	1.14549e+07
3524	0	7	6	0	8	29	0	1	1	5.30581e+06
3524	0	8	6	0	8	29	0	1	1	2.80759e+07
3524	0	8	10	0	8	29	0	1	1	1.44562e+06
3524	0	9	10	0	8	29	0	1	1	1.50488e+08
3524	0	9	6	0	8	29	0	1	1	2.48379e+06
3528	0	1	7	0	8	29	0	1	1	5.46974e+08
3528	0	2	7	0	8	29	0	1	1	1.52535e+07
3528	0	3	7	0	8	29	0	1	1	5.40751e+06
3528	0	4	7	0	8	29	0	1	1	2.41875e+07
3528	0	5	7	0	8	29	0	1	1	3.51569e+06
3528	0	6	7	0	8	29	0	1	1	5.30581e+06
3528	0	8	7	0	8	29	0	1	1	3.41546e+06
3528	0	9	7	0	8	29	0	1	1	1.60048e+07
3528	0	10	7	0	8	29	0	1	1	1.14549e+07
3536	0	1	2	0	8	29	0	1	1	2.13373e+07
3536	0	1	4	0	8	29	0	1	1	1.70506e+07
3536	0	1	5	0	8	29	0	1	1	4.15374e+06
3536	0	1	8	0	8	29	0	1	1	3.76424e+06
3536	0	3	2	0	8	29	0	1	1	2.04847e+07
3536	0	3	5	0	8	29	0	1	1	6.23678e+06
3536	0	3	4	0	8	29	0	1	1	2.54113e+06
3536	0	3	8	0	8	29	0	1	1	1.91882e+06
3536	0	6	8	0	8	29	0	1	1	2.80759e+07
3536	0	6	5	0	8	29	0	1	1	1.45181e+07
3536	0	6	2	0	8	29	0	1	1	8.27134e+06
3536	0	6	4	0	8	29	0	1	1	3.1415e+06
3536	0	7	4	0	8	29	0	1	1	2.41875e+07
3536	0	7	2	0	8	29	0	1	1	1.52535e+07
3536	0	7	5	0	8	29	0	1	1	3.51569e+06
3536	0	7	8	0	8	29	0	1	1	3.41546e+06
3536	0	9	2	0	8	29	0	1	1	9.23615e+06
3536	0	9	4	0	8	29	0	1	1	7.62567e+06
3536	0	9	5	0	8	29	0	1	1	2.40221e+06
3536	0	9	8	0	8	29	0	1	1	1.67831e+06
3536	0	10	4	0	8	29	0	1	1	7.61355e+06
3536	0	10	2	0	8	29	0	1	1	5.98342e+06
3536	0	10	5	0	8	29	0	1	1	1.89993e+06
3536	0	10	8	0	8	29	0	1	1	1.44562e+06
3840	0	1	8	0	8	29	0	1	1	3.76424e+06
3840	0	1	10	0	8	29	0	1	0	6.03919
3840	0	1	5	0	8	29	0	1	0	1.04477
3840	0	2	8	0	8	29	0	1	1	3.68704e+06
3840	0	2	5	0	8	29	0	1	0	4.18018
3840	0	2	10	0	8	29	0	1	0	1.5094
3840	0	3	8	0	8	29	0	1	1	1.91882e+06
3840	0	3	5	0	8	29	0	1	0	3.01668
