% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	avrgSinrPerRb
2240	0	2	1	0	8	29	0	1	1	334250
2240	0	3	1	0	8	29	0	1	1	41882.5
2240	0	4	1	0	8	29	0	1	1	228877
2240	0	5	1	0	8	29	0	1	1	21085.8
2240	0	6	1	0	8	29	0	1	1	42440.3
2240	0	7	1	0	8	29	0	1	1	7.99831e+07
2240	0	8	1	0	8	29	0	1	1	17856
2240	0	9	1	0	8	29	0	1	1	175739
2240	0	10	1	0	8	29	0	1	1	92748.4
2244	0	1	2	0	8	29	0	1	1	334250
2244	0	1	9	0	8	29	0	1	0	20.9327
2244	0	1	5	0	8	29	0	1	0	0.301382
2244	0	3	2	0	8	29	0	1	1	312009
2244	0	3	9	0	8	29	0	1	0	3.50223
2244	0	3	5	0	8	29	0	1	0	1.8014
2244	0	4	2	0	8	29	0	1	1	26490.8
2244	0	4	9	0	8	29	0	1	0	25.0716
2244	0	4	5	0	8	29	0	1	0	0.251545
2244	0	6	2	0	8	29	0	1	1	67469.8
2244	0	6	5	0	8	29	0	1	0	49.5082
2244	0	6	9	0	8	29	0	1	0	0.127407
2244	0	7	2	0	8	29	0	1	1	189638
2244	0	7	9	0	8	29	0	1	0	32.466
2244	0	7	5	0	8	29	0	1	0	0.194311
2244	0	8	2	0	8	29	0	1	1	17242
2244	0	8	5	0	8	29	0	1	0	17.4721
2244	0	8	9	0	8	29	0	1	0	0.360896
2244	0	10	2	0	8	29	0	1	1	39052.6
2244	0	10	9	0	8	29	0	1	0	4036.78
2244	0	10	5	0	8	29	0	1	0	0.00156232
2248	0	1	4	0	8	29	0	1	1	228877
2248	0	2	4	0	8	29	0	1	1	26490.8
2248	0	3	4	0	8	29	0	1	1	9196.58
2248	0	5	4	0	8	29	0	1	1	5890.32
2248	0	6	4	0	8	29	0	1	1	13157.2
2248	0	7	4	0	8	29	0	1	1	413064
2248	0	8	4	0	8	29	0	1	1	9822.72
2248	0	9	4	0	8	29	0	1	1	58817.3
2248	0	10	4	0	8	29	0	1	1	58659.5
2252	0	1	10	0	8	29	0	1	1	92748.4
2252	0	2	10	0	8	29	0	1	1	39052.6
2252	0	3	10	0	8	29	0	1	1	30744.6
2252	0	4	10	0	8	29	0	1	1	58659.5
2252	0	5	10	0	8	29	0	1	1	5628.27
2252	0	6	10	0	8	29	0	1	1	6247.16
2252	0	7	10	0	8	29	0	1	1	116924
2252	0	8	10	0	8	29	0	1	1	3547.86
2252	0	9	10	0	8	29	0	1	1	9.04905e+06
2256	0	1	7	0	8	29	0	1	0	11250
2256	0	1	6	0	8	29	0	1	0	2.54519
2256	0	1	3	0	8	29	0	1	0	2.47873
2256	0	1	8	0	8	29	0	1	0	0.000560771
2256	0	2	7	0	8	29	0	1	0	27.6232
2256	0	2	3	0	8	29	0	1	0	11.6156
2256	0	2	6	0	8	29	0	1	0	0.543174
2256	0	2	8	0	8	29	0	1	0	0.228379
2256	0	4	7	0	8	29	0	1	0	105.603
2256	0	4	6	0	8	29	0	1	0	3.59267
2256	0	4	3	0	8	29	0	1	0	1.75542
2256	0	4	8	0	8	29	0	1	0	0.0597326
2256	0	5	6	0	8	29	0	1	0	10.4617
2256	0	5	8	0	8	29	0	1	0	5.0147
2256	0	5	7	0	8	29	0	1	0	1.25792
2256	0	5	3	0	8	29	0	1	0	0.603069
2256	0	9	7	0	8	29	0	1	0	113.117
2256	0	9	3	0	8	29	0	1	0	16.5738
2256	0	9	6	0	8	29	0	1	0	0.380572
2256	0	9	8	0	8	29	0	1	0	0.0557478
2256	0	10	7	0	8	29	0	1	0	82.7236
2256	0	10	3	0	8	29	0	1	0	12.357
2256	0	10	6	0	8	29	0	1	0	0.510362
2256	0	10	8	0	8	29	0	1	0	0.0762174
2560	0	1	2	0	8	29	0	1	1	334250
2560	0	1	8	0	8	29	0	1	1	17856
2560	0	1	7	0	8	29	0	1	0	4796.67
2560	0	1	3	0	8	29	0	1	0	0.00131533
2560	0	4	2	0	8	29	0	1	1	26490.8
2560	0	4	8	0	8	29	0	1	1	9822.72
2560	0	4	7	0	8	29	0	1	0	112.79
2560	0	4	3	0	8	29	0	1	0	0.0559251
2560	0	5	2	0	8	29	0	1	1	92290.4
2560	0	5	8	0	8	29	0	1	1	31768.9
2560	0	5	3	0	8	29	0	1	0	6.61157
2560	0	5	7	0	8	29	0	1	0	0.954114
2560	0	6	8	0	8	29	0	1	1	531299
2560	0	6	2	0	8	29	0	1	1	67469.8
2560	0	6	7	0	8	29	0	1	0	5.16132
2560	0	6	3	0	8	29	0	1	0	1.22218
2560	0	9	2	0	8	29	0	1	1	81286.4
2560	0	9	8	0	8	29	0	1	1	4564.76
2560	0	9	7	0	8	29	0	1	0	8.84573
2560	0	9	3	0	8	29	0	1	0	0.713251
2560	0	10	2	0	8	29	0	1	1	39052.6
2560	0	10	8	0	8	29	0	1	1	3547.86
2560	0	10	7	0	8	29	0	1	0	9.55209
2560	0	10	3	0	8	29	0	1	0	0.660475
2564	0	2	1	0	8	29	0	1	1	334250
2564	0	2	6	0	8	29	0	1	1	67469.8
2564	0	3	1	0	8	29	0	1	1	41882.5
2564	0	3	6	0	8	29	0	1	1	15512.4
2564	0	4	1	0	8	29	0	1	1	228877
2564	0	4	6	0	8	29	0	1	1	13157.2
2564	0	5	6	0	8	29	0	1	1	174457
2564	0	5	1	0	8	29	0	1	1	21085.8
2564	0	7	1	0	8	29	0	1	1	7.99831e+07
2564	0	7	6	0	8	29	0	1	1	31879.3
2564	0	8	6	0	8	29	0	1	1	531299
2564	0	8	1	0	8	29	0	1	1	17856
2564	0	9	1	0	8	29	0	1	1	175739
2564	0	9	6	0	8	29	0	1	1	8848.88
2564	0	10	1	0	8	29	0	1	1	92748.4
2564	0	10	6	0	8	29	0	1	1	6247.16
2568	0	1	4	0	8	29	0	1	1	228877
2568	0	1	10	0	8	29	0	1	1	92748.4
2568	0	2	10	0	8	29	0	1	1	39052.6
2568	0	2	4	0	8	29	0	1	1	26490.8
2568	0	3	10	0	8	29	0	1	1	30744.6
2568	0	3	4	0	8	29	0	1	1	9196.58
2568	0	5	4	0	8	29	0	1	1	5890.32
2568	0	5	10	0	8	29	0	1	1	5628.27
2568	0	6	4	0	8	29	0	1	1	13157.2
2568	0	6	10	0	8	29	0	1	1	6247.16
2568	0	7	4	0	8	29	0	1	1	413064
2568	0	7	10	0	8	29	0	1	1	116924
2568	0	8	4	0	8	29	0	1	1	9822.72
2568	0	8	10	0	8	29	0	1	1	3547.86
2568	0	9	10	0	8	29	0	1	1	9.04905e+06
2568	0	9	4	0	8	29	0	1	1	58817.3
2572	0	1	5	0	8	29	0	1	1	21085.8
2572	0	2	5	0	8	29	0	1	1	92290.4
2572	0	3	5	0	8	29	0	1	1	41885.3
2572	0	4	5	0	8	29	0	1	1	5890.32
2572	0	6	5	0	8	29	0	1	1	174457
2572	0	7	5	0	8	29	0	1	1	15910.7
2572	0	8	5	0	8	29	0	1	1	31768.9
2572	0	9	5	0	8	29	0	1	1	8363.67
2572	0	10	5	0	8	29	0	1	1	5628.27
2576	0	1	9	0	8	29	0	1	1	175739
2576	0	2	9	0	8	29	0	1	1	81286.4
2576	0	3	9	0	8	29	0	1	1	58402.7
2576	0	4	9	0	8	29	0	1	1	58817.3
2576	0	5	9	0	8	29	0	1	1	8363.67
2576	0	6	9	0	8	29	0	1	1	8848.88
2576	0	7	9	0	8	29	0	1	1	205677
2576	0	8	9	0	8	29	0	1	1	4564.76
2576	0	10	9	0	8	29	0	1	1	9.04905e+06
2880	0	1	3	0	8	29	0	1	1	41882.5
